id,Setor,Sexo,Grau_Instrucao,Idade,Anos_Experiencia,Estado,Salario
1390,Administrativo,Feminino,Superior Incompleto,55,11,SP,1999.616745
1407,Marketing,Masculino,Superior Completo,40,17,SP,5139.437521
1347,Administrativo,Feminino,Mestrado,35,8,SP,6883.379725
1123,Operacao,Masculino,Mestrado,45,16,SP,6386.82506
1042,Administrativo,Feminino,Superior Incompleto,43,16,BH,1877.93132
107,Financeiro,Masculino,Superior Completo,54,12,BH,3725.828517
1148,Marketing,Masculino,Superior Completo,61,9,BH,6182.349859
1239,Administrativo,Masculino,Doutorado,72,7,SP,15371.57
97,Marketing,Feminino,Superior Completo,47,15,SP,6137.674634
114,Operacao,Feminino,Superior Completo,52,13,SP,1960.454
